;nfl_id;player_name;team_name;player_display_name;team;player_id
378;52462;A.J. Epenesa;BUF;A.J. Epenesa;BUF;00-0036192
797;53957;A.J. Parker;CAR;A.J. Parker;CAR;00-0036752
27;52424;A.J. Terrell;ATL;A.J. Terrell;ATL;00-0036285
545;54891;A.J. Thomas;CHI;;;00-0037222
822;43335;A'Shawn Robinson;NYG;A'Shawn Robinson;NYG;00-0032889
668;41239;Aaron Donald;LA;Aaron Donald;LA;00-0031388
574;45274;Adam Butler;LV;Adam Butler;LV;00-0033381
639;43352;Adam Gotsis;JAX;Adam Gotsis;JAX;00-0033064
343;44830;Adoree' Jackson;NYG;Adoree' Jackson;NYG;00-0033878
361;42485;Adrian Amos;NYJ;Adrian Amos;NYJ;00-0031584
765;42485;Adrian Amos;HOU;Adrian Amos;HOU;00-0031584
307;42116;Adrian Phillips;NE;Adrian Phillips;NE;00-0031404
312;44878;Ahkello Witherspoon;LA;Ahkello Witherspoon;LA;00-0033783
404;54467;Aidan Hutchinson;DET;Aidan Hutchinson;DET;00-0037236
621;56586;AJ Finley;LAC;;;
126;54583;Akayleb Evans;MIN;Akayleb Evans;MIN;00-0038101
90;52515;Akeem Davis-Gaither;CIN;Akeem Davis-Gaither;CIN;00-0036298
551;48599;Albert Huggins;ATL;Albert Huggins;ATL;00-0035455
5;44888;Alex Anzalone;DET;Alex Anzalone;DET;00-0033914
520;56117;Alex Austin;HOU;;;00-0038646
746;56117;Alex Austin;NE;Alex Austin;NE;00-0038646
673;56230;Alex Cook;CAR;Alex Cook;CAR;00-0038475
175;52510;Alex Highsmith;PIT;Alex Highsmith;PIT;00-0036333
243;42929;Alex Singleton;DEN;Alex Singleton;DEN;00-0031898
91;54543;Alex Wright;CLE;Alex Wright;CLE;00-0037251
606;53501;Alim McNeill;DET;Alim McNeill;DET;00-0036624
264;52594;Alohi Gilman;LAC;Alohi Gilman;LAC;00-0036380
144;54514;Alontae Taylor;NO;Alontae Taylor;NO;00-0038121
152;47899;Amani Hooker;TEN;Amani Hooker;TEN;00-0035632
674;54654;Amare Barno;CAR;Amare Barno;CAR;00-0037043
656;56068;Amari Burney;LV;Amari Burney;LV;00-0038617
168;53531;Ambry Thomas;SF;Ambry Thomas;SF;00-0037008
559;56079;Ameer Speed;NE;Ameer Speed;NE;00-0038624
427;53921;Amen Ogbongbemiga;LAC;Amen Ogbongbemiga;LAC;00-0036716
262;52547;Amik Robertson;LV;Amik Robertson;LV;00-0036375
660;56521;Andre Carter II;MIN;;;00-0038801
215;46807;Andre Chachere;ARI;Andre Chachere;ARI;00-0034623
98;53494;Andre Cisco;JAX;Andre Cisco;JAX;00-0036941
721;56098;Andre Jones Jr.;WAS;;;00-0038635
643;46303;Andre Smith;ATL;Andre Smith;ATL;00-0034430
806;43757;Andrew Adams;BAL;;;00-0032637
