"","season","week","player_id","player_name","player_display_name","position","position_group","team","headshot_url","n","performance_score"
"1",2023,1,"00-0027943","P.Peterson","Patrick Peterson","CB","DB","PIT","https://static.www.nfl.com/image/private/f_auto,q_auto/league/hefuj7lvfmgvr4tme7te",31,45.4162947851587
"2",2023,1,"00-0029530","J.Bethel","Justin Bethel","CB","DB","MIA","https://static.www.nfl.com/image/private/f_auto,q_auto/league/ctqpivwrs2u9gwrohbce",11,29.9676607977003
"3",2023,1,"00-0029542","S.Gilmore","Stephon Gilmore","CB","DB","DAL","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rzqv9harev8c0excxzfz",23,42.4815260354013
"4",2023,1,"00-0030062","D.Slay","Darius Slay","CB","DB","PHI","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ywdvgcxwf6nnfo9r77oz",36,44.2687747035573
"5",2023,1,"00-0031357","C.Goodwin","C.J. Goodwin","CB","DB","DAL","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tcfvwabfull325uyjta1",3,0
"6",2023,1,"00-0031785","T.Hill","Troy Hill","CB","DB","CAR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fa4ba7c9ku1narcpyh10",24,32.9710144927536
"7",2023,1,"00-0032150","S.Nelson","Steven Nelson","CB","DB","HOU","https://static.www.nfl.com/image/private/f_auto,q_auto/league/qaocvlmmgdkkubtkxqrt",30,36.2845849802372
"8",2023,1,"00-0032165","M.Peters","Marcus Peters","CB","DB","LV","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wnn5zpsvkdzzzmotmf98",14,36.7588932806324
"9",2023,1,"00-0032195","R.Darby","Ronald Darby","CB","DB","BAL","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dn0kn2aw6crrzvsjiuvl",16,40.0197628458498
"10",2023,1,"00-0032379","E.Apple","Eli Apple","CB","DB","MIA","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/szrv0msliekcbdfulpzb",37,37.2823416301677
"11",2023,1,"00-0032521","M.Hilton","Mike Hilton","CB","DB","CIN","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uippdcskzxubvfqoqxlo",38,40.0249635947576
"12",2023,1,"00-0032580","J.Jones","Jonathan Jones","CB","DB","NE","https://static.www.nfl.com/image/private/f_auto,q_auto/league/jn9mpyhj4gbzwyuio1kf",22,49.1555874955084
"13",2023,1,"00-0032803","J.Mills","Jalen Mills","CB","DB","NE","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yc4745ngoppgf1syjghl",25,36.0158102766798
"14",2023,1,"00-0032890","J.Bradberry","James Bradberry","CB","DB","PHI","https://static.www.nfl.com/image/private/f_auto,q_auto/league/aicnvekzwdh4mw66wh8g",36,50.5709266578832
"15",2023,1,"00-0033050","X.Howard","Xavien Howard","CB","DB","MIA","https://static.www.nfl.com/image/private/f_auto,q_auto/league/u2leir3h3frcennwutsi",32,49.5800395256917
"16",2023,1,"00-0033084","K.Fuller","Kendall Fuller","CB","DB","WAS","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pdznqfqyrrwcjdrjb3s5",32,50
"17",2023,1,"00-0033103","A.Burns","Artie Burns","CB","DB","SEA","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nxzudhrs9uippsvtzzvm",6,44.0052700922266
"18",2023,1,"00-0033393","K.Moore","Kenny Moore","CB","DB","IND","https://static.www.nfl.com/image/private/f_auto,q_auto/league/ji3hdoi86xonnhxlr6gl",29,52.3647267275453
"19",2023,1,"00-0033548","C.Awuzie","Chidobe Awuzie","CB","DB","CIN","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kjne7duta6jkknbbiyx7",26,49.802371541502
"20",2023,1,"00-0033551","R.Douglas","Rasul Douglas","CB","DB","GB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ckyphq6brbau8lhgbt6j",30,58.5770750988142
"21",2023,1,"00-0033697","M.Davis","Michael Davis","CB","DB","LAC","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xhomoqg5qsjbpacywfno",29,48.4666757530326
"22",2023,1,"00-0033783","A.Witherspoon","Ahkello Witherspoon","CB","DB","LA","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s0ugeantfk8glnsstdwe",13,52.4779568257829
"23",2023,1,"00-0033874","M.Lattimore","Marshon Lattimore","CB","DB","NO","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/z4npwlwl5teozc1lp8ky",22,54.0783327344592
"24",2023,1,"00-0033878","A.Jackson","Adoree' Jackson","CB","DB","NYG","https://static.www.nfl.com/image/private/f_auto,q_auto/league/wz7ftjbrza2khve21rpl",25,45.0909090909091
"25",2023,1,"00-0033884","T.White","Tre'Davious White","CB","DB","BUF","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xlgqko9tehzohbgnou0v",18,41.3263065436979
"26",2023,1,"00-0033926","S.Griffin","Shaquill Griffin","CB","DB","HOU","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jybewrw2vsf17rxds4tv",19,38.3191179529852
"27",2023,1,"00-0033930","C.Sutton","Cameron Sutton","CB","DB","DET","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rykly25j9mir0ygcnrs6",31,44.2687747035573
"28",2023,1,"00-0034203","D.Williams","Darious Williams","CB","DB","JAX","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dewntuji0qaai8mlayq4",37,41.149449845102
"29",2023,1,"00-0034278","T.Smith","Tremon Smith","CB","DB","DEN","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/txh6mh0kq1xrkdh8ig4r",9,38.6473429951691
"30",2023,1,"00-0034356","D.Jackson","Donte Jackson","CB","DB","CAR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/f5yk4vm8o1oct6webfp7",21,50.2164502164502
"31",2023,1,"00-0034357","I.Oliver","Isaiah Oliver","CB","DB","SF","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/aiqmpwmscdx5lyvyi5qp",13,43.4174521131043
"32",2023,1,"00-0034377","A.Maddox","Avonte Maddox","CB","DB","PHI","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fwzfhbgtcauaags08zlf",28,42.2924901185771
"33",2023,1,"00-0034384","D.Reed","D.J. Reed","CB","DB","NYJ","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rdl6g2afnvt4zbaqprs9",30,50.1449275362319
"34",2023,1,"00-0034446","J.Davis","Jalen Davis","CB","DB","CIN","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/d8n8qiddzihovdb9dh1x",6,14.2292490118577
"35",2023,1,"00-0034488","T.Thomas","Tavierre Thomas","CB","DB","HOU","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vgqvuxixybewnv9lymbr",25,33.6126482213439
"36",2023,1,"00-0034514","L.Wallace","Levi Wallace","CB","DB","PIT","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/y7rnq70zcpcgg0ifbghe",34,45.0127877237852
"37",2023,1,"00-0034516","T.Herndon","Tre Herndon","CB","DB","JAX","https://static.www.nfl.com/image/private/f_auto,q_auto/league/dpxfoqywx98khvtjs5m7",16,32.4110671936759
"38",2023,1,"00-0034540","T.Brown","Tony Brown","CB","DB","IND","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/awgmmiypysbptsowartb",2,10.6719367588933
"39",2023,1,"00-0034573","C.Ward","Charvarius Ward","CB","DB","SF","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jlccuozxaeffcupnvd7q",36,47.1892841458059
"40",2023,1,"00-0034591","J.Jackson","J.C. Jackson","CB","DB","LAC","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/crvgx5lbckpmfcnoylzw",23,58.1199518817666
"41",2023,1,"00-0034728","J.Alexander","Jaire Alexander","CB","DB","GB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/izwlytzwiity0r8hox8p",18,56.0386473429952
"42",2023,1,"00-0034756","T.Flowers","Tre Flowers","CB","DB","ATL","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/x7yagewolfolqgjvp633",28,24.5906267645398
"43",2023,1,"00-0034778","C.Davis","Carlton Davis","CB","DB","TB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ueh3ui3l3ndih3yrorbq",26,48.2821526299787
"44",2023,1,"00-0034780","I.Yiadom","Isaac Yiadom","CB","DB","NO","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kxe4pgiizgonwesgtcy2",6,15.0197628458498
"45",2023,1,"00-0034856","D.Ward","Denzel Ward","CB","DB","CLE","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jnslpmszzjcegkbza1gs",29,48.0850483848985
"46",2023,1,"00-0035133","K.Nixon","Keisean Nixon","CB","DB","GB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zsxo7tlynx1uzjvp0vpf",10,31.6205533596838
